Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36039015,Next Year in Havana,Chanel Cleeton,"Cleeton, Chanel",,"=""""","=""""",4,3.93,Berkley,Kindle Edition,394,2018,2018,2019/12/01,2019/10/11,,,read,,,,1,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",5,4.33,Penguin Books,Paperback,462,2019,2016,2019/12/01,2019/12/01,,,read,,,,1,0
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",0,4.20,Tim Duggan Books,Paperback,127,2017,2017,,2019/10/21,to-read,to-read (#131),to-read,,,,0,0
35138422,"Sex, Jesus, and the Conversations the Church Forgot",Mo Isom,"Isom, Mo",,"=""0801019052""","=""9780801019050""",0,4.22,Baker Books,Paperback,192,2018,2018,,2019/09/01,to-read,to-read (#130),to-read,,,,0,0
18902634,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""""","=""""",5,3.95,"Little, Brown and Company",Kindle Edition,774,2013,2013,2019/08/24,2019/07/28,,,read,,,,1,0
43521657,The Ten Thousand Doors of January,Alix E. Harrow,"Harrow, Alix E.",,"=""0316421995""","=""9780316421997""",0,4.02,Redhook,Hardcover,374,2019,2019,,2019/08/17,to-read,to-read (#129),to-read,,,,0,0
40129917,When We Left Cuba,Chanel Cleeton,"Cleeton, Chanel",,"=""0451490878""","=""9780451490872""",4,4.01,Berkley,ebook,354,2019,2019,2019/08/02,2019/07/27,,,read,,,,1,0
41708581,Where We Come From,Oscar Cásares,"Cásares, Oscar",,"=""0525655433""","=""9780525655435""",4,4.01,Knopf,Hardcover,272,2019,2019,2019/08/02,2019/07/17,,,read,,,,1,0
23874708,"Everything, Everything",Nicola Yoon,"Yoon, Nicola",,"=""""","=""""",3,3.97,Delacorte Press,Kindle Edition,311,2015,2015,2019/07/27,2019/07/19,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",0,4.33,"Harcourt, Inc.",Paperback,96,2000,1943,,2019/07/27,to-read,to-read (#128),to-read,,,,0,0
42980966,Mary Ventura and the Ninth Kingdom: A Story,Sylvia Plath,"Plath, Sylvia",,"=""0062940856""","=""9780062940858""",4,3.98,Harper,Hardcover,40,2019,2019,2019/07/21,2019/07/21,,,read,,,,1,0
27405328,The Name of God Is Mercy,Pope Francis,"Francis, Pope",Oonagh Stransky,"=""0399588639""","=""9780399588631""",0,4.17,Random House,Hardcover,176,2016,2015,,2019/07/19,to-read,to-read (#127),to-read,,,,0,0
