Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55276504,"The Hidden Palace (The Golem and the Jinni, #2)",Helene Wecker,"Wecker, Helene",,"=""0062468715""","=""9780062468710""",3,4.14,Harper,Hardcover,469,2021,2021,2021/07/09,2021/07/09,,,read,,,,1,0
8870772,Repentance,C. John Miller,"Miller, C. John",,"=""0875089798""","=""9780875089799""",0,4.20,CLC Publications,Paperback,99,2009,1975,,2021/07/09,to-read,to-read (#157),to-read,,,,0,0
7208977,A Commentary On The Confession Of Faith: With Questions For Theological Students And Bible Classes (1870),Archibald Alexander Hodge,"Hodge, Archibald Alexander","Charles Hodge, William Henry Goold","=""1437449913""","=""9781437449914""",5,4.46,Kessinger Publishing,Paperback,456,2009,1869,,2010/04/09,,,read,,,,1,0
55018989,Sealand: The True Story of the World’s Most Stubborn Micronation and Its Eccentric Royal Family,Dylan Taylor-Lehman,"Taylor-Lehman, Dylan",,"=""1635767261""","=""9781635767261""",4,3.73,Diversion Books,Paperback,336,2020,2020,2021/06/30,2021/06/30,,,read,Written by a journalist in an engaging style- but not objective by any means. Still an interesting overview of Sealand from its founding to present day. Worth reading!,,,1,0
7714,Pygmalion,George Bernard Shaw,"Shaw, George Bernard",,"=""0486282228""","=""9780486282220""",4,3.89,Dover Publications,Paperback,82,1994,1913,2021/06/18,2021/06/21,,,read,,,,1,0
16158601,Turn the Ship Around!: A True Story of Turning Followers into Leaders,L. David Marquet,"Marquet, L. David",,"=""1591846404""","=""9781591846406""",0,4.23,Portfolio,Hardcover,272,2013,2013,,2021/06/19,to-read,to-read (#156),to-read,,,,0,0
17308035,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",,"=""0099584352""","=""9780099584353""",0,4.00,Einaudi,Paperback,388,2016,1987,,2021/06/19,to-read,to-read (#155),to-read,,,,0,0
42774083,Leadership is Language: The Hidden Power of What You Say -- and What You Don't,L. David Marquet,"Marquet, L. David",,"=""0241373662""","=""9780241373668""",0,4.07,Portfolio Penguin,Hardcover,272,2020,2020,,2021/06/19,to-read,to-read (#154),to-read,,,,0,0
50904323,Hearts of Oak,Eddie Robson,"Robson, Eddie",,"=""1250260531""","=""9781250260536""",4,3.59,Tor.com,Paperback,261,2020,2020,2021/06/19,2021/06/19,,,read,,,,1,0
1502103,The Shawnees and the War for America: The Penguin Library of American Indian History series,Colin G. Calloway,"Calloway, Colin G.",,"=""0670038628""","=""9780670038626""",4,3.81,Viking Adult,Hardcover,256,2007,2007,2021/06/18,2021/06/18,,,read,,,,1,0
