Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5211,A Fine Balance,Rohinton Mistry,"Mistry, Rohinton",,"=""140003065X""","=""9781400030651""",0,4.37,Vintage,Paperback,603,1997,1995,,2021/07/19,to-read,to-read (#463),to-read,,,,0,0
11741,Housekeeping,Marilynne Robinson,"Robinson, Marilynne",,"=""0312424094""","=""9780312424091""",0,3.81,Picador,Paperback,219,2004,1980,,2021/07/14,to-read,to-read (#462),to-read,,,,0,0
54610962,What Comes After,JoAnne  Tompkins,"Tompkins, JoAnne",,"=""059308599X""","=""9780593085998""",0,3.77,Riverhead Books,Hardcover,420,2021,2021,,2021/07/03,to-read,to-read (#461),to-read,,,,0,0
36300633,"The Hidden Palace (The Golem and the Jinni, #2)",Helene Wecker,"Wecker, Helene",,"=""006246874X""","=""9780062468741""",0,4.14,Harper,ebook,480,2021,2021,,2021/06/28,to-read,to-read (#460),to-read,,,,0,0
45059297,African Europeans: An Untold History,Olivette Otélé,"Otélé, Olivette",,"=""1787381919""","=""9781787381919""",0,3.79,C Hurst & Co,Hardcover,288,2020,2020,,2021/06/24,to-read,to-read (#459),to-read,,,,0,0
106264,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,"MacLachlan, Patricia",,"=""0618062416""","=""9780618062416""",0,3.83,Houghton Mifflin,Paperback,64,2001,1985,,2021/06/22,,,read,,,,1,0
233818,Island of the Blue Dolphins,Scott O'Dell,"O'Dell, Scott",,"=""0440439884""","=""9780440439882""",0,3.87,Yearling,Paperback,184,1971,1960,,2021/06/22,,,read,,,,1,0
6952,Like Water for Chocolate,Laura Esquivel,"Esquivel, Laura","Carol Christensen, Thomas  Christensen","=""""","=""""",0,3.95,Black Swan,Paperback,222,1993,1989,,2021/06/22,,,read,,,,1,0
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",0,3.94,Anchor Books,Paperback,351,2003,2001,,2021/06/22,to-read,to-read (#458),to-read,,,,0,0
10920,Cold Mountain,Charles Frazier,"Frazier, Charles",,"=""0802142842""","=""9780802142849""",0,3.89,Grove Press,Paperback,449,2006,1997,,2021/06/22,to-read,to-read (#457),to-read,,,,0,0
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,"=""0452287022""","=""9780452287020""",0,3.93,Plume/Penguin,Paperback,233,2005,1999,,2021/06/22,,,read,,,,1,0
4989,The Red Tent,Anita Diamant,"Diamant, Anita",,"=""0312353766""","=""9780312353766""",0,4.20,St. Martin's Press,Hardcover,324,1997,1997,,2021/06/22,,,read,,,,1,0
49605868,The Dutch House,Ann Patchett,"Patchett, Ann",Tom Hanks,"=""0062963708""","=""9780062963703""",5,4.10,HarperAudio,Audiobook,10,2019,2019,2020/01/10,2019/10/27,"audio-book, fiction, public-library","audio-book (#14), fiction (#398), public-library (#427)",read,"This was my first Patchett, and I was not disappointed!  I thoroughly enjoyed this story and the references to places not far from where I live. Tom Hanks does an exceptional performance reading this wonderful story. Highly recommend the audiobook.",,,1,0
39683212,"Mujercitas (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May",María Hesse,"=""""","=""""",0,4.04,Alfaguara,Hardcover,352,2018,1869,,2019/08/05,to-read,to-read (#282),to-read,,,,0,0
7061,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400034779""","=""9781400034772""",0,3.81,Vintage,Paperback,235,2003,1998,,2021/06/13,to-read,to-read (#456),to-read,,,,0,0
54860610,Somebody's Daughter,Ashley C. Ford,"Ford, Ashley C.",,"=""1250305977""","=""9781250305978""",0,4.03,Flatiron Books: An Oprah Book,Hardcover,224,2021,2021,,2021/06/12,to-read,to-read (#455),to-read,,,,0,0
52879778,A Registry of My Passage Upon the Earth: Stories,Daniel       Mason,"Mason, Daniel",,"=""031647763X""","=""9780316477635""",0,3.72,"Little, Brown and Company",Hardcover,240,2020,2020,,2021/06/05,to-read,to-read (#454),to-read,,,,0,0
37946436,The Winter Soldier,Daniel       Mason,"Mason, Daniel",,"=""0316477605""","=""9780316477604""",0,3.99,"Little, Brown and Company",Hardcover,323,2018,2018,,2021/06/05,to-read,to-read (#453),to-read,,,,0,0
52320705,Who Is Maud Dixon?,Alexandra  Andrews,"Andrews, Alexandra",,"=""0316500313""","=""9780316500319""",3,3.83,"Little, Brown And Company",Hardcover,324,2021,2021,2021/05/29,2021/05/19,"fiction, public-library","fiction (#429), public-library (#449)",read,,,,1,0
126293,A Perfect Red,Amy Butler Greenfield,"Greenfield, Amy Butler",,"=""0060522763""","=""9780060522766""",0,3.87,Harper Perennial,Paperback,352,2006,2005,,2021/05/23,to-read,to-read (#452),to-read,,,,0,0
11887641,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""0062060619""","=""9780062060617""",4,4.32,Ecco,Hardcover,378,2012,2011,2021/05/18,2021/02/01,"fiction, public-library","fiction (#428), public-library (#448)",read,,,,1,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",5,4.23,"Little, Brown and Company",Hardcover,393,2018,2018,2019/12/30,2019/12/16,"audio-book, fiction, public-library, favorites","audio-book (#11), fiction (#394), public-library (#422), favorites (#19)",read,Highly recommend the audiobook with its superb narrator! What a thrilling story!,,,1,0
22574709,"Searching for Sunday: Loving, Leaving, and Finding the Church",Rachel Held Evans,"Evans, Rachel Held",,"=""0718022122""","=""9780718022129""",0,4.21,Thomas Nelson,Paperback,268,2015,2015,,2021/05/18,to-read,to-read (#451),to-read,,,,0,0
53438824,Whereabouts,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0593318315""","=""9780593318317""",4,3.77,Alfred A. Knopf,Hardcover,157,2021,2018,2021/05/05,2021/01/03,"fiction, public-library","fiction (#427), public-library (#447)",read,,,,1,0
89526,"I, Tituba, Black Witch of Salem",Maryse Condé,"Condé, Maryse",,"=""0345384202""","=""9780345384201""",0,4.05,Ballantine Books,Paperback,225,1994,1986,,2021/05/01,to-read,to-read (#450),to-read,,,,0,0
3077,The Enchanted April,Elizabeth von Arnim,"Arnim, Elizabeth von",,"=""""","=""""",0,3.91,Waking Lion Press,Paperback,232,2008,1922,,2021/05/01,to-read,to-read (#449),to-read,,,,0,0
29430746,Heavy,Kiese Laymon,"Laymon, Kiese",,"=""1501125656""","=""9781501125652""",0,4.48,Scribner,Hardcover,241,2018,2018,,2021/04/25,to-read,to-read (#448),to-read,,,,0,0
41044147,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",Ransom Riggs,"Riggs, Ransom",,"=""1594747784""","=""9781594747786""",0,4.14,Quirk Books,Kindle Edition,465,2015,2015,,2021/04/11,to-read,to-read (#447),to-read,,,,0,0
43902586,The Labyrinth of the Spirits,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""""","=""""",0,4.53,W&N,Paperback,832,2019,2016,,2019/06/22,to-read,to-read (#446),to-read,,,,0,0
48618665,Miracle on 10th Street: And Other Christmas Writings,Madeleine L'Engle,"L'Engle, Madeleine","Diana Butler Bass, Lindsay Lackey","=""1524759333""","=""9781524759339""",0,4.06,Convergent Books,Kindle Edition,181,2019,1998,,2020/11/30,limbo,limbo (#8),limbo,,,,0,0
51179955,"Moonflower Murders (Susan Ryeland, #2)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062955454""","=""9780062955456""",0,4.06,Harper,Hardcover,608,2020,2020,,2021/03/03,to-read,to-read (#445),to-read,,,,0,0
50828661,The Mermaid and the Bear,Ailish Sinclair,"Sinclair, Ailish",,"=""""","=""""",0,4.13,GWL Publishing,Kindle Edition,221,2019,2022,,2021/03/03,to-read,to-read (#444),to-read,,,,0,0
35725099,A Sister in My House,Linda Olsson,"Olsson, Linda",,"=""0143131699""","=""9780143131694""",0,3.46,Penguin Books,Paperback,224,2018,2016,,2021/03/02,to-read,to-read (#443),to-read,,,,0,0
28110139,The City Baker's Guide to Country Living,Louise  Miller,"Miller, Louise",,"=""1101981202""","=""9781101981207""",0,3.78,Pamela Dorman Books,Hardcover,342,2016,2016,,2021/03/02,to-read,to-read (#442),to-read,,,,0,0
27040143,Neon Green,Margaret Wappler,"Wappler, Margaret",,"=""1939419719""","=""9781939419712""",0,3.78,The Unnamed Press,Paperback,246,2016,2016,,2021/03/02,to-read,to-read (#441),to-read,,,,0,0
673915,Last Night at the Lobster,Stewart O'Nan,"O'Nan, Stewart",,"=""0670018279""","=""9780670018277""",0,3.59,Viking Adult,Hardcover,160,2007,2007,,2021/03/02,to-read,to-read (#440),to-read,,,,0,0
