Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239399,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,"Scalzi, John",,"=""0765354063""","=""9780765354068""",5,4.12,Tom Doherty Associates,Mass Market Paperback,343,2007,2006,2024/01/15,2023/12/17,want-to-own-a-copy-of,want-to-own-a-copy-of (#11),read,,,,1,0
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",5,4.23,Tor Books,Kindle Edition,318,2007,2005,2023/12/17,2023/12/16,,,read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.14,Ballantine Books,Hardcover,342,2016,2016,,2022/07/28,"to-read, want-to-own-a-copy-of","to-read (#33), want-to-own-a-copy-of (#10)",to-read,,,,0,0
7679,The Terminal Man,Michael Crichton,"Crichton, Michael",,"=""0060092572""","=""9780060092573""",0,3.41,Avon,Mass Market Paperback,268,2002,1972,,2023/12/11,"to-read, want-to-own-a-copy-of","to-read (#56), want-to-own-a-copy-of (#9)",to-read,,,,0,0
7673,Eaters of the Dead,Michael Crichton,"Crichton, Michael",,"=""0060891564""","=""9780060891565""",0,3.71,Avon Books,Paperback,304,2006,1976,,2023/12/11,"to-read, want-to-own-a-copy-of","to-read (#55), want-to-own-a-copy-of (#8)",to-read,,,,0,0
100680,"Raft (Xeelee Sequence, #1)",Stephen Baxter,"Baxter, Stephen",,"=""0586210911""","=""9780586210918""",0,3.68,Grafton,Paperback,251,1992,1991,,2023/12/11,"to-read, want-to-own-a-copy-of","to-read (#54), want-to-own-a-copy-of (#7)",to-read,,,,0,0
8436175,Too Much to Know: Managing Scholarly Information before the Modern Age,Ann M. Blair,"Blair, Ann M.",,"=""0300112513""","=""9780300112511""",0,3.81,Yale University Press,Hardcover,416,2010,2010,,2022/09/27,"to-read, want-to-own-a-copy-of","to-read (#40), want-to-own-a-copy-of (#6)",to-read,,,,0,0
33586715,Timequake,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0795318642""","=""9780795318641""",0,3.73,RosettaBooks,Kindle Edition,276,2011,1997,,2022/07/05,"to-read, want-to-own-a-copy-of","to-read (#28), want-to-own-a-copy-of (#5)",to-read,,,,0,0
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",Apostol András,"=""0449016196""","=""9780449016190""",0,4.24,Fawcett Crest,Mass Market Paperback,192,1971,1955,,2022/07/05,"to-read, want-to-own-a-copy-of","to-read (#31), want-to-own-a-copy-of (#4)",to-read,,,,0,0
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",0,4.17,Ballantine Books,Hardcover,326,2019,2019,,2022/07/28,"to-read, want-to-own-a-copy-of","to-read (#34), want-to-own-a-copy-of (#3)",to-read,,,,0,0
32475,"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software",Scott Rosenberg,"Rosenberg, Scott",,"=""1400082463""","=""9781400082469""",0,3.71,"Crown Publishing, NY",Hardcover,416,2007,2007,,2023/12/04,"to-read, library","to-read (#53), library (#3)",to-read,,,,0,0
21936838,"Data-ism: The Revolution Transforming Decision Making, Consumer Behavior, and Almost Everything Else",Steve Lohr,"Lohr, Steve",,"=""0062226819""","=""9780062226815""",0,3.46,Harper Business,Hardcover,256,2015,2015,,2023/12/04,"to-read, library","to-read (#52), library (#2)",to-read,,,,0,0
10329646,When Gadgets Betray Us: The Dark Side of Our Infatuation With New Technologies,Robert Vamosi,"Vamosi, Robert",,"=""0465019587""","=""9780465019588""",0,3.40,Basic Books,Hardcover,222,2011,2011,,2023/12/04,"to-read, library","to-read (#51), library (#1)",to-read,,,,0,0
18695386,The People's Republic of Amnesia: Tiananmen Revisited,Louisa Lim,"Lim, Louisa",,"=""0199347700""","=""9780199347704""",4,4.25,Oxford University Press,Hardcover,264,2014,2014,2023/12/03,2023/11/29,,,read,An interesting book that brings to light what happened in Tienanmen Square 1989 as well as a chapter touching on another connected tragedy that has been covered up by the CCP. I liked that she based her information off of other people and included the way that their lives have been impacted by that event. ,,,1,0
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2023/12/04,to-read,to-read (#50),to-read,,,,0,0
1127841,Artificial Intelligence: A Modern Approach,Stuart Russell,"Russell, Stuart",Peter Norvig,"=""0130803022""","=""9780130803023""",0,4.20,Pearson Education (us),Paperback,1081,2003,1994,,2023/12/04,to-read,to-read (#49),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.86,Oxford University Press,Hardcover,352,2014,2014,,2023/12/04,to-read,to-read (#48),to-read,,,,0,0
133240726,As Gods Among Men: A History of the Rich in the West,Guido   Alfani,"Alfani, Guido",,"=""0691215731""","=""9780691215730""",0,3.96,Princeton University Press,Hardcover,440,2023,2023,,2023/11/12,to-read,to-read (#47),to-read,,,,0,0
1054142,"Firstborn (A Time Odyssey, #3)",Arthur C. Clarke,"Clarke, Arthur C.",Stephen Baxter,"=""0345491572""","=""9780345491572""",4,3.73,Del Rey,Hardcover,364,2007,2007,2023/08/06,2023/06/24,,,read,,,,1,0
35815,"Sunstorm (A Time Odyssey, #2)",Arthur C. Clarke,"Clarke, Arthur C.",Stephen Baxter,"=""0345452518""","=""9780345452511""",5,3.85,Del Rey,Mass Market Paperback,356,2006,2005,2023/07/25,2023/06/24,,,read,"Another great book from Clarke and Baxter, 4.5 stars. A really enjoyable book about a disaster involving the sun. I found it very interesting, and enjoyed the narrative, although some of the scientific explanations were a bit complicated for my puny mind to fully comprehend. Overall, would recommend reading this book, which is related to the first book in the series, but mostly stands on its own as a part of the overarching narrative of the Time Odyssey series, which I hope to finish reading soon.",,,1,0
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",0,4.14,Voyager,Paperback,278,2003,1974,,2023/07/14,to-read,to-read (#46),to-read,,,,0,0
414999,Childhood’s End,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,4.12,Del Rey Books,Mass Market Paperback,224,1987,1953,2023/07/14,2022/07/20,,,read,"A truly fascinating book that I strongly recommend reading. It provides a quite interesting and captivating narrative, which I readily devoured. Truly masterful. ",,,1,0
64936,"Time's Eye (A Time Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",Stephen Baxter,"=""034545247X""","=""9780345452474""",5,3.72,Del Rey,Mass Market Paperback,379,2005,2003,2023/06/24,2023/06/20,,,read,"Really interesting book about what might happen if the world was carved up through time by the “Discontinuity”. I found the narrative thrilling and very intriguing, and quickly read the whole book. I’m looking forward to reading the next books in this series and always appreciate the books produced by the collaboration between these two great authors.",,,1,0
63233677,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""1250872278""","=""9781250872272""",0,3.92,Picador,Paperback,452,2023,2022,,2023/05/30,to-read,to-read (#45),to-read,,,,0,0
31804439,12 Ways Your Phone Is Changing You,Tony Reinke,"Reinke, Tony",John      Piper,"=""1433552434""","=""9781433552434""",0,4.29,Crossway,Paperback,224,2017,2017,,2023/05/21,to-read,to-read (#44),to-read,,,,0,0
58152486,"God, Technology, and the Christian Life",Tony Reinke,"Reinke, Tony",,"=""1433578271""","=""9781433578274""",0,4.10,Crossway,Paperback,316,2022,2021,,2023/05/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
625491,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,"Tobin, Jacqueline L.","Raymond G. Dobard, Maude S. Wahlman","=""0385497679""","=""9780385497671""",4,3.51,Anchor,Paperback,240,2000,1999,2023/05/02,2023/04/03,,,read,,,,1,0
7661,Next,Michael Crichton,"Crichton, Michael",,"=""0060872985""","=""9780060872984""",3,3.53,Harper,Hardcover,431,2006,2006,2023/04/03,2023/04/03,,,read,,,,1,0
25141966,Computer Science: Discovering God's Glory in Ones and Zeros,Jonathan R. Stoddard,"Stoddard, Jonathan R.",,"=""1596389923""","=""9781596389922""",4,3.71,P&R Publishing,Kindle Edition,34,2015,2015,2023/03/08,2023/03/08,,,read,,,,1,0
823062,The Light of Other Days,Arthur C. Clarke,"Clarke, Arthur C.",Stephen Baxter,"=""0812576403""","=""9780812576405""",4,3.98,Tor Books,Paperback,384,2001,2000,2023/03/07,2023/03/04,,,read,"A really fascinating book about the invention of this technology and the implications that it would have for the species told through a compelling narrative. While not entirely realistic and at times showing the authors’ viewpoints, I found it interesting and worth a read. ",,,1,0
